PERIOD,REGION,RURAL/URBAN,SEX,AGE MEAN,STATURE,TMAXLN,HR50AP,HR50ML,HL50AP,HL50ML
Bronze,N.-Cen. Europe,1,1,27.5,173.3,381,19.7,22.5,18.7,20.6
Bronze,N.-Cen. Europe,1,1,42.5,159.0,350,23.2,24.1,22.8,22.7
Bronze,N.-Cen. Europe,1,1,27.5,172.8,397,21.6,21.9,21.3,21.6
Bronze,N.-Cen. Europe,1,2,50,155.7,345,20.1,19.8,19.4,21.4
Bronze,N.-Cen. Europe,1,1,35,158.9,353,22.7,20.6,21.1,21.1
Bronze,N.-Cen. Europe,1,1,35,169.3,385,24.3,23.3,21.3,22.3
Bronze,N.-Cen. Europe,1,1,35,168.4,383,22.9,23.2,20.4,21.8
Bronze,N.-Cen. Europe,1,1,45,171.7,402,22.9,24.1,21.9,21.4
Bronze,N.-Cen. Europe,1,2,35,169.7,388,18.6,19.0,17.8,19.2
Bronze,N.-Cen. Europe,1,1,35,164.7,363,19.3,19.6,18.0,18.7
Bronze,N.-Cen. Europe,1,1,38,163.4,363,18.5,19.2,18.4,19.1
Bronze,N.-Cen. Europe,1,2,35,151.3,332,18.0,19.3,17.5,19.7
Bronze,N.-Cen. Europe,1,1,35,156.5,341,19.9,21.6,20.2,19.7
Bronze,N.-Cen. Europe,1,1,45,165.9,369,21.3,21.8,21.0,17.2
Bronze,N.-Cen. Europe,1,2,47.5,158.6,356,20.1,25.1,21.5,25.3
Bronze,N.-Cen. Europe,1,2,42.5,160.2,357,20.4,20.5,22.1,22.6
Bronze,N.-Cen. Europe,1,2,30,157.4,344,20.5,22.8,20.5,23.8
Bronze,N.-Cen. Europe,1,2,40,156.2,340,19.5,19.8,18.4,18.9
Bronze,N.-Cen. Europe,1,1,40,164.2,362,23.1,23.9,20.8,25.6
Bronze,N.-Cen. Europe,1,1,50,170.2,388,21.3,22.9,19.0,21.8
Bronze,N.-Cen. Europe,1,2,42.5,148.4,329,19.3,22.6,19.5,22.5
Bronze,N.-Cen. Europe,1,2,40,164.2,373,19.5,21.3,19.7,20.0
Bronze,N.-Cen. Europe,1,2,30,163.6,368,20.0,18.9,20.3,18.2
Bronze,N.-Cen. Europe,1,1,37.5,159.3,353,21.2,20.5,20.4,19.4
Bronze,N.-Cen. Europe,1,2,35,157.8,360,18.4,20.7,18.2,19.9
Bronze,Iberia,1,2,32.5,150.3,355,19.6,18.8,19.0,21.2
Bronze,Iberia,1,1,52.5,158.8,352,23.0,21.4,22.3,19.7
Bronze,Iberia,1,2,52.5,146.8,330,20.0,18.3,19.3,17.7
Bronze,Iberia,1,2,24,156.0,348,21.8,18.8,20.5,19.2
Bronze,Iberia,1,1,47.5,168.8,394,22.2,22.4,21.6,20.9
Bronze,Iberia,1,2,50,151.3,332,22.5,14.9,20.8,18.8
Bronze,Iberia,1,2,24.5,152.9,341,19.6,19.7,20.0,20.3
Bronze,Iberia,1,1,18,165.1,373,20.1,21.8,19.2,20.2
Bronze,Iberia,1,1,45,162.6,381,21.7,21.2,20.9,21.7
Bronze,Iberia,1,2,37.5,156.1,378,19.0,19.9,20.0,19.6
Bronze,Iberia,1,2,27.5,160.0,361,21.0,17.6,19.6,19.5
Bronze,Iberia,1,1,40,165.6,384,19.9,20.2,19.4,19.0
Bronze,Iberia,1,1,40,159.0,355,19.7,23.0,19.6,21.8
Bronze,Iberia,1,2,50,150.9,344.5,19.1,19.7,20.3,19.9
Neolithic,Britain,1,2,42,148.4,327,21.5,21.0,19.7,20.8
Neolithic,Britain,1,1,27.5,169.3,395,19.3,22.1,19.7,20.5
Neolithic,Britain,1,1,32,154.9,346,17.2,21.5,17.8,15.9
Neolithic,Britain,1,1,30,159.7,353.5,20.2,20.1,20.4,20.8
Neolithic,Britain,1,1,55,165.7,368,19.2,22.2,20.0,19.9
Neolithic,Scand./Finland,1,1,38,194.2,466,21.6,21.2,20.1,22.1
Neolithic,Scand./Finland,1,1,32.5,175.8,405,23.8,24.7,23.0,22.2
Neolithic,Scand./Finland,1,2,38,152.8,345,18.9,16.9,18.3,18.2
Neolithic,Scand./Finland,1,1,27.5,159.0,355.5,20.7,26.6,21.4,24.1
Neolithic,Scand./Finland,1,1,40,164.6,373,22.0,23.5,22.2,22.2
Neolithic,Scand./Finland,1,2,25,143.8,310,21.4,17.8,19.4,18.6
Neolithic,Scand./Finland,1,2,27.5,159.2,345,21.7,21.4,21.0,20.5
Neolithic,Scand./Finland,1,1,27.5,159.1,345,21.2,24.6,22.0,22.2
Neolithic,Scand./Finland,1,2,23.5,159.7,333,17.5,19.2,17.1,19.1
Neolithic,Scand./Finland,1,2,37.5,161.5,354,21.3,21.4,20.5,21.2
Neolithic,Scand./Finland,1,2,20.5,160.3,330,21.0,22.3,20.4,21.6
Neolithic,Scand./Finland,1,1,45,162.3,366,23.1,24.6,23.0,23.8
Neolithic,Scand./Finland,1,1,55,146.4,309,22.0,23.0,18.8,21.7
Neolithic,Scand./Finland,1,1,45,162.8,342,22.3,27.1,22.6,24.8
Neolithic,Scand./Finland,1,1,39.5,152.6,331,21.8,22.8,20.6,21.8
Neolithic,Scand./Finland,1,1,22.5,170.8,379,24.5,26.3,23.9,24.4
Neolithic,Scand./Finland,1,2,25,147.9,322,21.2,23.1,21.1,21.7
Neolithic,Scand./Finland,1,2,25,151.9,337,18.3,19.6,18.8,19.2
Neolithic,Scand./Finland,1,2,30,157.3,345.5,18.9,20.2,17.7,20.3
Neolithic,Scand./Finland,1,2,35,152.7,331.5,19.0,20.8,19.8,19.3
Neolithic,Scand./Finland,1,1,30,164.8,364,23.1,26.8,22.7,24.9
Neolithic,Scand./Finland,1,2,60,156.0,329,19.6,20.9,18.9,20.0
Neolithic,Scand./Finland,1,1,30,165.7,367,20.5,23.3,20.3,21.5
Neolithic,Scand./Finland,1,1,55,154.0,340,21.9,22.5,21.6,21.3
Neolithic,Scand./Finland,1,1,30,153.3,333,20.5,25.6,21.8,23.2
Neolithic,Scand./Finland,1,1,22.5,158.6,339,18.8,22.4,18.8,20.7
Neolithic,Scand./Finland,1,2,19,158.5,336.5,20.6,21.2,20.4,21.2
Neolithic,Scand./Finland,1,1,30,167.8,379,22.1,25.0,21.5,23.8
Neolithic,Scand./Finland,1,2,42.5,147.3,303,17.5,21.5,17.9,20.1
Neolithic,Scand./Finland,1,1,40,163.7,368.5,25.4,22.9,22.9,20.3
Neolithic,Scand./Finland,1,2,45,154.2,334,19.8,21.0,20.8,21.0
Neolithic,Scand./Finland,1,1,27.5,166.2,366,20.8,24.1,21.3,21.9
Neolithic,Scand./Finland,1,2,27.5,160.3,352.5,18.1,21.4,17.5,20.3
Neolithic,Scand./Finland,1,1,55,168.8,363,22.1,24.8,22.1,23.3
Neolithic,Scand./Finland,1,1,55,171.6,371.5,23.8,27.1,23.2,24.9
Neolithic,Scand./Finland,1,1,42.5,155.6,330,21.3,25.2,22.2,23.9
Neolithic,Scand./Finland,1,1,27.5,160.4,348,20.6,26.9,21.8,22.8
Neolithic,Scand./Finland,1,2,42.5,159.2,338,20.2,20.8,20.0,20.9
Neolithic,Scand./Finland,1,1,35,171.6,372,19.3,24.5,18.1,22.5
Neolithic,Scand./Finland,1,1,35,170.1,371,20.9,24.2,21.8,21.9
Neolithic,Scand./Finland,1,1,25,168.9,373,20.3,19.8,20.2,18.7
Neolithic,Scand./Finland,1,1,42.5,178.2,424,23.0,21.7,21.5,21.5
Neolithic,Scand./Finland,1,1,55,171.9,392,22.5,22.6,20.1,21.9
Neolithic,Scand./Finland,1,1,38,162.9,360,23.9,22.9,19.3,21.4
Neolithic,Scand./Finland,1,1,27.5,165.2,374,21.8,21.4,20.6,21.8
Neolithic,Scand./Finland,1,1,42.5,162.2,367,22.6,20.9,22.2,20.3
Neolithic,Scand./Finland,1,1,31.5,163.8,370,21.3,23.3,19.4,22.0
Neolithic,N.-Cen. Europe,1,1,22.5,172.7,405,20.3,22.9,19.5,21.1
Neolithic,N.-Cen. Europe,1,2,25,161.9,365,17.6,18.9,16.6,17.6
Neolithic,N.-Cen. Europe,1,1,50,159.8,351,20.6,21.5,20.7,22.2
Neolithic,N.-Cen. Europe,1,1,32.5,169.3,348,18.0,18.7,17.3,18.1
Neolithic,N.-Cen. Europe,1,1,35,176.9,410,22.4,22.3,22.2,21.9
Neolithic,N.-Cen. Europe,1,1,20,163.7,358,21.2,21.9,21.2,20.9
Neolithic,N.-Cen. Europe,1,2,20,160.7,363,19.7,22.5,18.1,23.2
Neolithic,N.-Cen. Europe,1,1,55,167.4,388,21.8,23.3,21.6,21.9
Neolithic,N.-Cen. Europe,1,1,29.5,160.6,368,20.6,22.1,18.1,22.2
Neolithic,N.-Cen. Europe,1,1,24.5,170.3,392,21.1,24.3,21.1,21.9
Neolithic,N.-Cen. Europe,1,1,44.5,174.2,390,22.5,24.2,20.4,22.1
Neolithic,N.-Cen. Europe,1,2,55,155.8,350,22.2,23.7,20.3,24.0
Neolithic,N.-Cen. Europe,1,2,21,169.2,393,20.7,24.6,21.0,22.2
Neolithic,N.-Cen. Europe,1,1,37,160.0,365,20.1,23.3,21.0,22.6
Neolithic,N.-Cen. Europe,1,2,44.5,156.1,342.5,21.3,21.9,19.5,21.8
Neolithic,N.-Cen. Europe,1,2,27,160.0,343.5,21.4,23.9,21.4,24.5
Neolithic,N.-Cen. Europe,1,2,29.5,166.6,380,20.3,22.8,19.4,21.4
Neolithic,N.-Cen. Europe,1,1,37,165.4,375,20.4,21.9,18.9,20.6
Neolithic,N.-Cen. Europe,1,2,22,155.7,345,18.8,20.3,18.5,21.2
Neolithic,N.-Cen. Europe,1,2,21,155.7,339,19.9,17.3,19.2,19.2
Neolithic,N.-Cen. Europe,1,1,40,161.2,361,22.2,23.8,20.5,23.0
Neolithic,N.-Cen. Europe,1,1,40,169.6,381,20.3,22.8,19.4,21.8
Neolithic,N.-Cen. Europe,1,2,20.5,162.2,369,21.7,19.7,16.2,20.8
Neolithic,N.-Cen. Europe,1,2,42.5,154.7,347,20.0,23.2,20.0,21.9
Neolithic,N.-Cen. Europe,1,1,21,173.0,401,21.8,25.8,21.1,23.9
Neolithic,N.-Cen. Europe,1,1,25,176.6,417,21.8,23.1,21.2,21.6
Neolithic,N.-Cen. Europe,1,2,27.5,157.0,356,16.6,21.0,17.3,21.8
Neolithic,N.-Cen. Europe,1,1,50,170.3,390,23.1,26.3,22.3,25.1
Neolithic,N.-Cen. Europe,1,2,35,167.3,378,20.9,17.8,19.6,22.5
Neolithic,N.-Cen. Europe,1,1,27.5,165.0,366,21.2,20.8,20.2,21.7
Neolithic,N.-Cen. Europe,1,1,27.5,169.8,382,22.0,23.3,20.6,21.7
Neolithic,N.-Cen. Europe,1,1,30,174.5,399,20.9,24.6,20.5,22.1
Neolithic,N.-Cen. Europe,1,2,35,157.4,348,20.4,20.9,20.8,22.7
Neolithic,N.-Cen. Europe,1,2,35,159.6,358,22.9,23.6,22.8,25.6
Neolithic,N.-Cen. Europe,1,2,21.5,166.2,387,18.6,21.4,18.2,22.1
Neolithic,N.-Cen. Europe,1,2,35,160.2,357,19.8,21.9,18.9,21.8
Neolithic,N.-Cen. Europe,1,1,27.5,177.1,397,19.9,23.8,20.7,22.7
Neolithic,N.-Cen. Europe,1,1,50,167.5,374,22.9,26.6,21.4,24.1
Neolithic,N.-Cen. Europe,1,2,25,159.5,355,20.9,20.1,20.0,20.4
Neolithic,N.-Cen. Europe,1,1,25,159.8,350.5,20.1,21.8,19.1,19.6
Neolithic,N.-Cen. Europe,1,2,27.5,157.3,340,17.5,17.2,16.8,17.3
Neolithic,N.-Cen. Europe,1,2,25,159.3,347,19.5,19.6,19.2,20.3
Neolithic,N.-Cen. Europe,1,1,44.5,167.5,386,22.1,22.4,21.4,21.0
Neolithic,N.-Cen. Europe,1,1,40,165.4,376,19.7,23.2,19.9,22.1
Neolithic,N.-Cen. Europe,1,2,27.5,144.4,308,18.3,17.8,17.8,18.4
Neolithic,N.-Cen. Europe,1,2,27.5,157.2,332,19.1,21.2,18.4,19.8
Neolithic,N.-Cen. Europe,1,2,55,152.3,334.5,18.6,19.3,18.7,18.9
Neolithic,N.-Cen. Europe,1,2,22,146.1,279,15.9,18.4,16.7,17.6
Neolithic,N.-Cen. Europe,1,1,20,155.2,343,18.9,20.7,18.9,20.1
Neolithic,N.-Cen. Europe,1,1,37.5,148.6,303,19.6,19.5,18.8,20.1
Neolithic,N.-Cen. Europe,1,2,55,149.9,300,17.3,16.9,17.1,18.1
Neolithic,N.-Cen. Europe,1,2,22.5,149.9,315.5,18.7,18.3,19.1,18.8
Neolithic,N.-Cen. Europe,1,1,38,154.0,326.5,17.4,17.5,17.2,17.9
Neolithic,N.-Cen. Europe,1,1,37.5,162.4,355,21.5,22.0,21.0,21.3
Neolithic,N.-Cen. Europe,1,2,20,154.8,336,18.5,17.6,18.1,19.3
Mesolithic,Scand./Finland,1,2,42.5,149.0,320,17.2,19.4,18.2,19.3
Mesolithic,Scand./Finland,1,1,32.5,160.5,353,21.3,25.8,19.4,23.6
Mesolithic,Iberia,1,2,40,153.4,340,17.0,15.9,15.1,15.6
Mesolithic,Iberia,1,1,17,155.1,339,20.3,19.3,19.4,19.8
Mesolithic,Iberia,1,1,40,158.8,350,22.2,18.3,18.4,21.3
