vondstnummer;project_code;subcategorie;object;begin_dat;eind_dat;vlak_max;munt_lengte_diameter_in_mm;vondstnummer,project_code,subcategorie,object,begin_dat,eind_dat,vlak_max,munt_lengte_diameter_in_mm
NZC1.00001MTL001;NZC1;metaal: zilver;munt;1698.0;1698.0;;55.0;NZC1.00001MTL001,NZC1,metaal: zilver,munt,1698.0,1698.0,,55.0
NZD1.00005MTL001;NZD1;metaal: nikkel;munt;1977.0;1977.0;;19.0;NZD1.00005MTL001,NZD1,metaal: nikkel,munt,1977.0,1977.0,,19.0
NZD1.00005MTL002;NZD1;metaal: nikkel;munt;1986.0;1986.0;;19.0;NZD1.00005MTL002,NZD1,metaal: nikkel,munt,1986.0,1986.0,,19.0
NZD1.00005MTL003;NZD1;metaal: nikkel;munt;1987.0;1987.0;;19.0;NZD1.00005MTL003,NZD1,metaal: nikkel,munt,1987.0,1987.0,,19.0
NZD1.00007MTL002;NZD1;metaal: koper-nikkel;munt;1991.0;1991.0;;29.0;NZD1.00007MTL002,NZD1,metaal: koper-nikkel,munt,1991.0,1991.0,,29.0
NZD1.00007MTL009;NZD1;metaal: aluminium-brons;munt;1950.0;1950.0;;23.0;NZD1.00007MTL009,NZD1,metaal: aluminium-brons,munt,1950.0,1950.0,,23.0
NZD1.00007MTL010;NZD1;metaal: nikkel;munt;1969.0;1969.0;;24.0;NZD1.00007MTL010,NZD1,metaal: nikkel,munt,1969.0,1969.0,,24.0
NZD1.00007MTL011;NZD1;metaal: ijzer-koper;munt;1949.0;2000.0;;21.5;NZD1.00007MTL011,NZD1,metaal: ijzer-koper,munt,1949.0,2000.0,,21.5
NZD1.00007MTL012;NZD1;metaal: brons;munt;1980.0;1980.0;;21.0;NZD1.00007MTL012,NZD1,metaal: brons,munt,1980.0,1980.0,,21.0
NZD1.00007MTL013;NZD1;metaal: brons;munt;1958.0;1958.0;;17.0;NZD1.00007MTL013,NZD1,metaal: brons,munt,1958.0,1958.0,,17.0
NZD1.00007MTL014;NZD1;metaal: koper-nikkel;munt;1997.0;1997.0;;25.0;NZD1.00007MTL014,NZD1,metaal: koper-nikkel,munt,1997.0,1997.0,,25.0
NZD1.00019MTL003;NZD1;metaal: staal;munt;2005.0;2005.0;-3.69;21.25;NZD1.00019MTL003,NZD1,metaal: staal,munt,2005.0,2005.0,-3.69,21.25
NZD1.00021MTL003;NZD1;metaal: zink;munt;1917.0;1917.0;-4.19;21.0;NZD1.00021MTL003,NZD1,metaal: zink,munt,1917.0,1917.0,-4.19,21.0
NZD1.00023MTL005;NZD1;metaal: aluminium;munt;1921.0;1921.0;-5.19;23.0;NZD1.00023MTL005,NZD1,metaal: aluminium,munt,1921.0,1921.0,-5.19,23.0
NZD1.00023MTL006;NZD1;metaal: aluminium;munt;1922.0;1922.0;-5.19;23.0;NZD1.00023MTL006,NZD1,metaal: aluminium,munt,1922.0,1922.0,-5.19,23.0
NZD1.00028MTL012;NZD1;metaal: staal;munt;2002.0;2002.0;-5.49;21.25;NZD1.00028MTL012,NZD1,metaal: staal,munt,2002.0,2002.0,-5.49,21.25
NZD1.00030MTL004;NZD1;metaal: koperlegering;munt;1450.0;1550.0;;18.0;NZD1.00030MTL004,NZD1,metaal: koperlegering,munt,1450.0,1550.0,,18.0
NZD1.00032MTL013;NZD1;metaal: aluminium-brons;munt;1987.0;1987.0;-5.68;20.0;NZD1.00032MTL013,NZD1,metaal: aluminium-brons,munt,1987.0,1987.0,-5.68,20.0
NZD1.00039MTL012;NZD1;metaal: brons;munt;1967.0;1967.0;-6.2;17.0;NZD1.00039MTL012,NZD1,metaal: brons,munt,1967.0,1967.0,-6.2,17.0
NZD1.00042MTL014;NZD1;metaal: nikkel-messing;munt;2002.0;2002.0;-5.89;25.75;NZD1.00042MTL014,NZD1,metaal: nikkel-messing,munt,2002.0,2002.0,-5.89,25.75
NZD1.00042MTL015;NZD1;metaal: nikkel-messing;munt;2002.0;2002.0;-5.89;23.25;NZD1.00042MTL015,NZD1,metaal: nikkel-messing,munt,2002.0,2002.0,-5.89,23.25
NZD1.00042MTL016;NZD1;metaal: nikkel-messing;munt;2002.0;2002.0;-5.89;23.25;NZD1.00042MTL016,NZD1,metaal: nikkel-messing,munt,2002.0,2002.0,-5.89,23.25
NZD1.00042MTL017;NZD1;metaal: koperlegering;munt;1999.0;1999.0;-5.89;23.25;NZD1.00042MTL017,NZD1,metaal: koperlegering,munt,1999.0,1999.0,-5.89,23.25
NZD1.00042MTL018;NZD1;metaal: koperlegering;munt;2001.0;2001.0;-5.89;24.25;NZD1.00042MTL018,NZD1,metaal: koperlegering,munt,2001.0,2001.0,-5.89,24.25
NZD1.00042MTL019;NZD1;metaal: koperlegering;munt;1999.0;1999.0;-5.89;24.25;NZD1.00042MTL019,NZD1,metaal: koperlegering,munt,1999.0,1999.0,-5.89,24.25
NZD1.00042MTL020;NZD1;metaal: koperlegering;munt;2002.0;2002.0;-5.89;24.25;NZD1.00042MTL020,NZD1,metaal: koperlegering,munt,2002.0,2002.0,-5.89,24.25
NZD1.00042MTL021;NZD1;metaal: koperlegering;munt;2002.0;2002.0;-5.89;22.25;NZD1.00042MTL021,NZD1,metaal: koperlegering,munt,2002.0,2002.0,-5.89,22.25
NZD1.00042MTL022;NZD1;metaal: koperlegering;munt;2002.0;2002.0;-5.89;22.25;NZD1.00042MTL022,NZD1,metaal: koperlegering,munt,2002.0,2002.0,-5.89,22.25
NZD1.00042MTL023;NZD1;metaal: koperlegering;munt;2001.0;2001.0;-5.89;22.25;NZD1.00042MTL023,NZD1,metaal: koperlegering,munt,2001.0,2001.0,-5.89,22.25
NZD1.00042MTL024;NZD1;metaal: koperlegering;munt;1999.0;1999.0;-5.89;22.25;NZD1.00042MTL024,NZD1,metaal: koperlegering,munt,1999.0,1999.0,-5.89,22.25
NZD1.00042MTL025;NZD1;metaal: koperlegering;munt;1999.0;1999.0;-5.89;19.75;NZD1.00042MTL025,NZD1,metaal: koperlegering,munt,1999.0,1999.0,-5.89,19.75
NZD1.00042MTL026;NZD1;metaal: koperlegering;munt;1999.0;1999.0;-5.89;19.75;NZD1.00042MTL026,NZD1,metaal: koperlegering,munt,1999.0,1999.0,-5.89,19.75
NZD1.00042MTL027;NZD1;metaal: koperlegering;munt;2001.0;2001.0;-5.89;19.75;NZD1.00042MTL027,NZD1,metaal: koperlegering,munt,2001.0,2001.0,-5.89,19.75
NZD1.00042MTL028;NZD1;metaal: koperlegering;munt;2001.0;2001.0;-5.89;19.75;NZD1.00042MTL028,NZD1,metaal: koperlegering,munt,2001.0,2001.0,-5.89,19.75
NZD1.00042MTL029;NZD1;metaal: koperlegering;munt;2001.0;2001.0;-5.89;19.75;NZD1.00042MTL029,NZD1,metaal: koperlegering,munt,2001.0,2001.0,-5.89,19.75
NZD1.00042MTL030;NZD1;metaal: koperlegering;munt;2000.0;2000.0;-5.89;19.75;NZD1.00042MTL030,NZD1,metaal: koperlegering,munt,2000.0,2000.0,-5.89,19.75
NZD1.00042MTL031;NZD1;metaal: koperlegering;munt;2002.0;2002.0;-5.89;19.75;NZD1.00042MTL031,NZD1,metaal: koperlegering,munt,2002.0,2002.0,-5.89,19.75
NZD1.00042MTL032;NZD1;metaal: koperlegering;munt;1999.0;1999.0;-5.89;19.75;NZD1.00042MTL032,NZD1,metaal: koperlegering,munt,1999.0,1999.0,-5.89,19.75
NZD1.00042MTL033;NZD1;metaal: koperlegering;munt;2000.0;2000.0;-5.89;19.75;NZD1.00042MTL033,NZD1,metaal: koperlegering,munt,2000.0,2000.0,-5.89,19.75
NZD1.00042MTL034;NZD1;metaal: koperlegering;munt;1999.0;1999.0;-5.89;19.75;NZD1.00042MTL034,NZD1,metaal: koperlegering,munt,1999.0,1999.0,-5.89,19.75
NZD1.00042MTL035;NZD1;metaal: staal;munt;1999.0;2004.0;-5.89;21.25;NZD1.00042MTL035,NZD1,metaal: staal,munt,1999.0,2004.0,-5.89,21.25
NZD1.00042MTL036;NZD1;metaal: staal;munt;1999.0;1999.0;-5.89;21.25;NZD1.00042MTL036,NZD1,metaal: staal,munt,1999.0,1999.0,-5.89,21.25
NZD1.00042MTL037;NZD1;metaal: staal;munt;2000.0;2000.0;-5.89;18.75;NZD1.00042MTL037,NZD1,metaal: staal,munt,2000.0,2000.0,-5.89,18.75
NZD1.00042MTL038;NZD1;metaal: staal;munt;1999.0;1999.0;-5.89;21.25;NZD1.00042MTL038,NZD1,metaal: staal,munt,1999.0,1999.0,-5.89,21.25
NZD1.00042MTL039;NZD1;metaal: staal;munt;2001.0;2001.0;-5.89;21.25;NZD1.00042MTL039,NZD1,metaal: staal,munt,2001.0,2001.0,-5.89,21.25
NZD1.00042MTL040;NZD1;metaal: staal;munt;1999.0;1999.0;-5.89;18.75;NZD1.00042MTL040,NZD1,metaal: staal,munt,1999.0,1999.0,-5.89,18.75
NZD1.00042MTL041;NZD1;metaal: staal;munt;2001.0;2001.0;-5.89;18.75;NZD1.00042MTL041,NZD1,metaal: staal,munt,2001.0,2001.0,-5.89,18.75
NZD1.00042MTL042;NZD1;metaal: staal;munt;2001.0;2001.0;-5.89;18.75;NZD1.00042MTL042,NZD1,metaal: staal,munt,2001.0,2001.0,-5.89,18.75
NZD1.00042MTL043;NZD1;metaal: staal;munt;2000.0;2000.0;-5.89;16.25;NZD1.00042MTL043,NZD1,metaal: staal,munt,2000.0,2000.0,-5.89,16.25
NZD1.00042MTL044;NZD1;metaal: staal;munt;1999.0;1999.0;-5.89;16.25;NZD1.00042MTL044,NZD1,metaal: staal,munt,1999.0,1999.0,-5.89,16.25
NZD1.00042MTL045;NZD1;metaal: staal;munt;1999.0;1999.0;-5.89;16.25;NZD1.00042MTL045,NZD1,metaal: staal,munt,1999.0,1999.0,-5.89,16.25
NZD1.00042MTL046;NZD1;metaal: staal;munt;1999.0;1999.0;-5.89;16.25;NZD1.00042MTL046,NZD1,metaal: staal,munt,1999.0,1999.0,-5.89,16.25
NZD1.00042MTL047;NZD1;metaal: staal;munt;2000.0;2000.0;-5.89;16.25;NZD1.00042MTL047,NZD1,metaal: staal,munt,2000.0,2000.0,-5.89,16.25
NZD1.00042MTL048;NZD1;metaal: staal;munt;2000.0;2000.0;-5.89;16.25;NZD1.00042MTL048,NZD1,metaal: staal,munt,2000.0,2000.0,-5.89,16.25
NZD1.00042MTL049;NZD1;metaal: staal;munt;2000.0;2000.0;-5.89;16.25;NZD1.00042MTL049,NZD1,metaal: staal,munt,2000.0,2000.0,-5.89,16.25
NZD1.00043MTL036;NZD1;metaal: brons;munt;1975.0;1975.0;-5.89;26.0;NZD1.00043MTL036,NZD1,metaal: brons,munt,1975.0,1975.0,-5.89,26.0
NZD1.00048MTL021;NZD1;metaal: brons;munt;1971.0;1971.0;-6.25;26.0;NZD1.00048MTL021,NZD1,metaal: brons,munt,1971.0,1971.0,-6.25,26.0
NZD1.00048MTL022;NZD1;metaal: brons;munt;1948.0;1948.0;-6.25;21.0;NZD1.00048MTL022,NZD1,metaal: brons,munt,1948.0,1948.0,-6.25,21.0
NZD1.00052MTL023;NZD1;metaal: brons;munt;1979.0;1979.0;-6.3;21.0;NZD1.00052MTL023,NZD1,metaal: brons,munt,1979.0,1979.0,-6.3,21.0
NZD1.00054MTL012;NZD1;metaal: nikkel;munt;1971.0;1971.0;-6.3;25.0;NZD1.00054MTL012,NZD1,metaal: nikkel,munt,1971.0,1971.0,-6.3,25.0
NZD1.00059MTL006;NZD1;metaal: ijzer-koper;munt;1949.0;1999.0;-6.68;16.5;NZD1.00059MTL006,NZD1,metaal: ijzer-koper,munt,1949.0,1999.0,-6.68,16.5
NZD1.00059MTL012;NZD1;metaal: koper;munt;1604.0;1620.0;-6.68;21.0;NZD1.00059MTL012,NZD1,metaal: koper,munt,1604.0,1620.0,-6.68,21.0
NZD1.00059MTL013;NZD1;metaal: brons;munt;1905.0;1905.0;-6.68;19.0;NZD1.00059MTL013,NZD1,metaal: brons,munt,1905.0,1905.0,-6.68,19.0
NZD1.00062MTL002;NZD1;metaal: koper-nikkel;munt;1985.0;1985.0;-6.68;26.0;NZD1.00062MTL002,NZD1,metaal: koper-nikkel,munt,1985.0,1985.0,-6.68,26.0
NZD1.00062MTL003;NZD1;metaal: nikkel;munt;1970.0;1970.0;-6.68;21.0;NZD1.00062MTL003,NZD1,metaal: nikkel,munt,1970.0,1970.0,-6.68,21.0
NZD1.00062MTL004;NZD1;metaal: brons;munt;1948.0;1948.0;-6.68;17.0;NZD1.00062MTL004,NZD1,metaal: brons,munt,1948.0,1948.0,-6.68,17.0
NZD1.00062MTL005;NZD1;metaal: nikkel;munt;1980.0;1980.0;-6.68;19.0;NZD1.00062MTL005,NZD1,metaal: nikkel,munt,1980.0,1980.0,-6.68,19.0
NZD1.00068MTL029;NZD1;metaal: zilver;munt;1931.0;1931.0;-6.84;28.0;NZD1.00068MTL029,NZD1,metaal: zilver,munt,1931.0,1931.0,-6.84,28.0
NZD1.00068MTL030;NZD1;metaal: brons;munt;1877.0;1905.0;-6.84;19.0;NZD1.00068MTL030,NZD1,metaal: brons,munt,1877.0,1905.0,-6.84,19.0
NZD1.00068MTL031;NZD1;metaal: brons;munt;1950.0;1950.0;-6.84;17.0;NZD1.00068MTL031,NZD1,metaal: brons,munt,1950.0,1950.0,-6.84,17.0
NZD1.00068MTL032;NZD1;metaal: nikkel;munt;1956.0;1956.0;-6.84;15.0;NZD1.00068MTL032,NZD1,metaal: nikkel,munt,1956.0,1956.0,-6.84,15.0
NZD1.00068MTL033;NZD1;metaal: brons;munt;1877.0;1940.0;-6.84;19.0;NZD1.00068MTL033,NZD1,metaal: brons,munt,1877.0,1940.0,-6.84,19.0
NZD1.00069MTL041;NZD1;metaal: brons;munt;1967.0;1967.0;-6.4;17.0;NZD1.00069MTL041,NZD1,metaal: brons,munt,1967.0,1967.0,-6.4,17.0
NZD1.00070MTL029;NZD1;metaal: zilver;munt;1505.0;1520.0;-6.84;16.0;NZD1.00070MTL029,NZD1,metaal: zilver,munt,1505.0,1520.0,-6.84,16.0
NZD1.00070MTL032;NZD1;metaal: koper;munt;1574.0;1579.0;-6.84;26.0;NZD1.00070MTL032,NZD1,metaal: koper,munt,1574.0,1579.0,-6.84,26.0
NZD1.00070MTL033;NZD1;metaal: koper;munt;1579.0;1579.0;-6.84;25.0;NZD1.00070MTL033,NZD1,metaal: koper,munt,1579.0,1579.0,-6.84,25.0
NZD1.00070MTL036;NZD1;metaal: zink;munt;1941.0;1944.0;-6.84;17.0;NZD1.00070MTL036,NZD1,metaal: zink,munt,1941.0,1944.0,-6.84,17.0
NZD1.00070MTL037;NZD1;metaal: koper-nikkel;munt;1949.0;1949.0;-6.84;24.0;NZD1.00070MTL037,NZD1,metaal: koper-nikkel,munt,1949.0,1949.0,-6.84,24.0
NZD1.00070MTL042;NZD1;metaal: brons;munt;1967.0;1967.0;-6.84;17.0;NZD1.00070MTL042,NZD1,metaal: brons,munt,1967.0,1967.0,-6.84,17.0
NZD1.00072MTL091;NZD1;metaal: koperlegering;munt;1999.0;1999.0;-6.8;24.25;NZD1.00072MTL091,NZD1,metaal: koperlegering,munt,1999.0,1999.0,-6.8,24.25
NZD1.00075MTL041;NZD1;metaal: zink;munt;1941.0;1941.0;-6.8;26.0;NZD1.00075MTL041,NZD1,metaal: zink,munt,1941.0,1941.0,-6.8,26.0
NZD1.00075MTL042;NZD1;metaal: brons;munt;1948.0;1948.0;-6.8;21.0;NZD1.00075MTL042,NZD1,metaal: brons,munt,1948.0,1948.0,-6.8,21.0
NZD1.00075MTL043;NZD1;metaal: ijzer-koper;munt;1985.0;1985.0;-6.8;16.5;NZD1.00075MTL043,NZD1,metaal: ijzer-koper,munt,1985.0,1985.0,-6.8,16.5
NZD1.00075MTL044;NZD1;metaal: zink;munt;1944.0;1944.0;-6.8;17.0;NZD1.00075MTL044,NZD1,metaal: zink,munt,1944.0,1944.0,-6.8,17.0
NZD1.00077MTL067;NZD1;metaal: messing;munt;1509.0;1547.0;-6.98;25.0;NZD1.00077MTL067,NZD1,metaal: messing,munt,1509.0,1547.0,-6.98,25.0
NZD1.00077MTL070;NZD1;metaal: koper;munt;1792.0;1792.0;-6.98;22.0;NZD1.00077MTL070,NZD1,metaal: koper,munt,1792.0,1792.0,-6.98,22.0
NZD1.00077MTL074;NZD1;metaal: brons;munt;1978.0;1978.0;-6.98;21.0;NZD1.00077MTL074,NZD1,metaal: brons,munt,1978.0,1978.0,-6.98,21.0
NZD1.00077MTL075;NZD1;metaal: brons;munt;1965.0;1965.0;-6.98;21.0;NZD1.00077MTL075,NZD1,metaal: brons,munt,1965.0,1965.0,-6.98,21.0
NZD1.00077MTL076;NZD1;metaal: brons;munt;1948.0;1948.0;-6.98;17.0;NZD1.00077MTL076,NZD1,metaal: brons,munt,1948.0,1948.0,-6.98,17.0
NZD1.00077MTL077;NZD1;metaal: zilver;munt;1914.0;1914.0;-6.98;17.5;NZD1.00077MTL077,NZD1,metaal: zilver,munt,1914.0,1914.0,-6.98,17.5
NZD1.00077MTL078;NZD1;metaal: nikkel-messing;munt;1938.0;1938.0;-6.98;22.0;NZD1.00077MTL078,NZD1,metaal: nikkel-messing,munt,1938.0,1938.0,-6.98,22.0
NZD1.00077MTL079;NZD1;metaal: brons;munt;1962.0;1962.0;-6.98;17.0;NZD1.00077MTL079,NZD1,metaal: brons,munt,1962.0,1962.0,-6.98,17.0
NZD1.00078MTL039;NZD1;metaal: brons;munt;1954.0;1954.0;-6.98;21.0;NZD1.00078MTL039,NZD1,metaal: brons,munt,1954.0,1954.0,-6.98,21.0
NZD1.00078MTL040;NZD1;metaal: brons;munt;1976.0;1976.0;-6.98;21.0;NZD1.00078MTL040,NZD1,metaal: brons,munt,1976.0,1976.0,-6.98,21.0
NZD1.00078MTL041;NZD1;metaal: brons;munt;1984.0;1984.0;-6.98;21.0;NZD1.00078MTL041,NZD1,metaal: brons,munt,1984.0,1984.0,-6.98,21.0
NZD1.00078MTL042;NZD1;metaal: brons;munt;1948.0;1948.0;-6.98;17.0;NZD1.00078MTL042,NZD1,metaal: brons,munt,1948.0,1948.0,-6.98,17.0
NZD1.00078MTL043;NZD1;metaal: brons;munt;1951.0;1951.0;-6.98;17.0;NZD1.00078MTL043,NZD1,metaal: brons,munt,1951.0,1951.0,-6.98,17.0
NZD1.00079MTL056;NZD1;metaal: aluminium-brons;munt;1962.0;2002.0;-7.5;23.5;NZD1.00079MTL056,NZD1,metaal: aluminium-brons,munt,1962.0,2002.0,-7.5,23.5
NZD1.00079MTL057;NZD1;metaal: brons;munt;1966.0;1966.0;-7.5;21.0;NZD1.00079MTL057,NZD1,metaal: brons,munt,1966.0,1966.0,-7.5,21.0
NZD1.00079MTL058;NZD1;metaal: brons;munt;1905.0;1905.0;-7.5;23.4;NZD1.00079MTL058,NZD1,metaal: brons,munt,1905.0,1905.0,-7.5,23.4
NZD1.00079MTL059;NZD1;metaal: nikkel;munt;1968.0;1968.0;-7.5;25.0;NZD1.00079MTL059,NZD1,metaal: nikkel,munt,1968.0,1968.0,-7.5,25.0
NZD1.00081MTL043;NZD1;metaal: koper;munt;1677.0;1677.0;-6.9;21.0;NZD1.00081MTL043,NZD1,metaal: koper,munt,1677.0,1677.0,-6.9,21.0
NZD1.00081MTL051;NZD1;metaal: brons;munt;1983.0;1983.0;-6.9;21.0;NZD1.00081MTL051,NZD1,metaal: brons,munt,1983.0,1983.0,-6.9,21.0
NZD1.00081MTL052;NZD1;metaal: brons;munt;1978.0;1978.0;-6.9;26.0;NZD1.00081MTL052,NZD1,metaal: brons,munt,1978.0,1978.0,-6.9,26.0
NZD1.00081MTL053;NZD1;metaal: brons;munt;1955.0;1955.0;-6.9;19.0;NZD1.00081MTL053,NZD1,metaal: brons,munt,1955.0,1955.0,-6.9,19.0
NZD1.00081MTL054;NZD1;metaal: koper-nikkel;munt;1967.0;1967.0;-6.9;19.0;NZD1.00081MTL054,NZD1,metaal: koper-nikkel,munt,1967.0,1967.0,-6.9,19.0
NZD1.00087MTL069;NZD1;metaal: zilver;munt;1691.0;1691.0;-7.19;28.0;NZD1.00087MTL069,NZD1,metaal: zilver,munt,1691.0,1691.0,-7.19,28.0
NZD1.00087MTL071;NZD1;metaal: brons;munt;1975.0;1975.0;-7.19;26.0;NZD1.00087MTL071,NZD1,metaal: brons,munt,1975.0,1975.0,-7.19,26.0
NZD1.00087MTL072;NZD1;metaal: brons;munt;1969.0;1969.0;-7.19;21.0;NZD1.00087MTL072,NZD1,metaal: brons,munt,1969.0,1969.0,-7.19,21.0
NZD1.00088MTL057;NZD1;metaal: koper-nikkel;munt;1985.0;1985.0;-7.19;23.0;NZD1.00088MTL057,NZD1,metaal: koper-nikkel,munt,1985.0,1985.0,-7.19,23.0
NZD1.00088MTL058;NZD1;metaal: staal;munt;2000.0;2000.0;-7.19;21.25;NZD1.00088MTL058,NZD1,metaal: staal,munt,2000.0,2000.0,-7.19,21.25
NZD1.00088MTL059;NZD1;metaal: brons;munt;1991.0;1991.0;-7.19;21.0;NZD1.00088MTL059,NZD1,metaal: brons,munt,1991.0,1991.0,-7.19,21.0
NZD1.00090MTL055;NZD1;metaal: koper-nikkel;munt;1982.0;1982.0;-7.2;24.0;NZD1.00090MTL055,NZD1,metaal: koper-nikkel,munt,1982.0,1982.0,-7.2,24.0
NZD1.00090MTL056;NZD1;metaal: koper-nikkel-aluminium;munt;1986.0;1986.0;-7.2;24.0;NZD1.00090MTL056,NZD1,metaal: koper-nikkel-aluminium,munt,1986.0,1986.0,-7.2,24.0
NZD1.00090MTL057;NZD1;metaal: nikkel;munt;1980.0;1980.0;-7.2;25.0;NZD1.00090MTL057,NZD1,metaal: nikkel,munt,1980.0,1980.0,-7.2,25.0
NZD1.00090MTL058;NZD1;metaal: brons;munt;1979.0;1979.0;-7.2;21.0;NZD1.00090MTL058,NZD1,metaal: brons,munt,1979.0,1979.0,-7.2,21.0
NZD1.00090MTL059;NZD1;metaal: brons;munt;1985.0;1985.0;-7.2;21.0;NZD1.00090MTL059,NZD1,metaal: brons,munt,1985.0,1985.0,-7.2,21.0
NZD1.00090MTL060;NZD1;metaal: brons;munt;1971.0;1971.0;-7.2;17.0;NZD1.00090MTL060,NZD1,metaal: brons,munt,1971.0,1971.0,-7.2,17.0
NZD1.00090MTL061;NZD1;metaal: brons;munt;1972.0;1972.0;-7.2;17.0;NZD1.00090MTL061,NZD1,metaal: brons,munt,1972.0,1972.0,-7.2,17.0
NZD1.00090MTL062;NZD1;metaal: nikkel;munt;1963.0;1963.0;-7.2;15.0;NZD1.00090MTL062,NZD1,metaal: nikkel,munt,1963.0,1963.0,-7.2,15.0
NZD1.00092MTL050;NZD1;metaal: zilver;munt;1499.0;1499.0;-7.2;27.5;NZD1.00092MTL050,NZD1,metaal: zilver,munt,1499.0,1499.0,-7.2,27.5
NZD1.00092MTL054;NZD1;metaal: koper-nikkel;munt;1961.0;1961.0;-7.2;23.0;NZD1.00092MTL054,NZD1,metaal: koper-nikkel,munt,1961.0,1961.0,-7.2,23.0
NZD1.00092MTL072;NZD1;metaal: koper-zink;munt;1959.0;1959.0;-7.2;19.0;NZD1.00092MTL072,NZD1,metaal: koper-zink,munt,1959.0,1959.0,-7.2,19.0
NZD1.00092MTL073;NZD1;metaal: nikkel;munt;1999.0;1999.0;-7.2;15.0;NZD1.00092MTL073,NZD1,metaal: nikkel,munt,1999.0,1999.0,-7.2,15.0
NZD1.00095MTL037;NZD1;metaal: brons;munt;1978.0;1978.0;-7.8;21.0;NZD1.00095MTL037,NZD1,metaal: brons,munt,1978.0,1978.0,-7.8,21.0
NZD1.00095MTL038;NZD1;metaal: koper;munt;1702.0;1780.0;-7.8;22.0;NZD1.00095MTL038,NZD1,metaal: koper,munt,1702.0,1780.0,-7.8,22.0
NZD1.00095MTL041;NZD1;metaal: koper;munt;1876.0;1876.0;-7.8;22.0;NZD1.00095MTL041,NZD1,metaal: koper,munt,1876.0,1876.0,-7.8,22.0
NZD1.00095MTL042;NZD1;metaal: ijzer-koper;munt;1972.0;1972.0;-7.8;16.5;NZD1.00095MTL042,NZD1,metaal: ijzer-koper,munt,1972.0,1972.0,-7.8,16.5
NZD1.00095MTL043;NZD1;metaal: staal;munt;2003.0;2003.0;-7.8;18.75;NZD1.00095MTL043,NZD1,metaal: staal,munt,2003.0,2003.0,-7.8,18.75
NZD1.00095MTL044;NZD1;metaal: brons;munt;1950.0;1950.0;-7.8;17.0;NZD1.00095MTL044,NZD1,metaal: brons,munt,1950.0,1950.0,-7.8,17.0
NZD1.00095MTL045;NZD1;metaal: brons;munt;1984.0;1984.0;-7.8;21.0;NZD1.00095MTL045,NZD1,metaal: brons,munt,1984.0,1984.0,-7.8,21.0
NZD1.00096MTL032;NZD1;metaal: biljoen;munt;1466.0;1467.0;-7.8;19.0;NZD1.00096MTL032,NZD1,metaal: biljoen,munt,1466.0,1467.0,-7.8,19.0
NZD1.00096MTL033;NZD1;metaal: koper;munt;1709.0;1711.0;-7.8;23.0;NZD1.00096MTL033,NZD1,metaal: koper,munt,1709.0,1711.0,-7.8,23.0
NZD1.00096MTL034;NZD1;metaal: koper;munt;1659.0;1679.0;-7.8;18.0;NZD1.00096MTL034,NZD1,metaal: koper,munt,1659.0,1679.0,-7.8,18.0
NZD1.00096MTL035;NZD1;metaal: koper;munt;1736.0;1736.0;-7.8;21.0;NZD1.00096MTL035,NZD1,metaal: koper,munt,1736.0,1736.0,-7.8,21.0
NZD1.00096MTL036;NZD1;metaal: koper;munt;1739.0;1739.0;-7.8;21.0;NZD1.00096MTL036,NZD1,metaal: koper,munt,1739.0,1739.0,-7.8,21.0
NZD1.00096MTL040;NZD1;metaal: koper;munt;1821.0;1828.0;-7.8;22.0;NZD1.00096MTL040,NZD1,metaal: koper,munt,1821.0,1828.0,-7.8,22.0
NZD1.00096MTL041;NZD1;metaal: brons;munt;1898.0;1898.0;-7.8;23.4;NZD1.00096MTL041,NZD1,metaal: brons,munt,1898.0,1898.0,-7.8,23.4
NZD1.00096MTL043;NZD1;metaal: aluminium-brons;munt;1994.0;1994.0;-7.8;24.0;NZD1.00096MTL043,NZD1,metaal: aluminium-brons,munt,1994.0,1994.0,-7.8,24.0
NZD1.00096MTL044;NZD1;metaal: brons;munt;1967.0;1967.0;-7.8;17.0;NZD1.00096MTL044,NZD1,metaal: brons,munt,1967.0,1967.0,-7.8,17.0
NZD1.00096MTL045;NZD1;metaal: brons;munt;1992.0;1992.0;-7.8;21.0;NZD1.00096MTL045,NZD1,metaal: brons,munt,1992.0,1992.0,-7.8,21.0
NZD1.00096MTL046;NZD1;metaal: ijzer-koper;munt;1971.0;1971.0;-7.8;18.0;NZD1.00096MTL046,NZD1,metaal: ijzer-koper,munt,1971.0,1971.0,-7.8,18.0
NZD1.00096MTL047;NZD1;metaal: ijzer-koper;munt;1950.0;1950.0;-7.8;18.0;NZD1.00096MTL047,NZD1,metaal: ijzer-koper,munt,1950.0,1950.0,-7.8,18.0
NZD1.00096MTL048;NZD1;metaal: koper-nikkel;munt;1969.0;1969.0;-7.8;16.0;NZD1.00096MTL048,NZD1,metaal: koper-nikkel,munt,1969.0,1969.0,-7.8,16.0
NZD1.00097MTL030;NZD1;metaal: koper;munt;1739.0;1739.0;-7.92;21.0;NZD1.00097MTL030,NZD1,metaal: koper,munt,1739.0,1739.0,-7.92,21.0
NZD1.00098MTL025;NZD1;metaal: nikkel;munt;1966.0;1966.0;-7.92;15.0;NZD1.00098MTL025,NZD1,metaal: nikkel,munt,1966.0,1966.0,-7.92,15.0
NZD1.00099MTL036;NZD1;metaal: koper;munt;1710.0;1710.0;-8.25;22.0;NZD1.00099MTL036,NZD1,metaal: koper,munt,1710.0,1710.0,-8.25,22.0
