vondstnummer;project_code;subcategorie;object;begin_dat;eind_dat;vlak_max;munt_lengte_diameter_in_mm;vondstnummer,project_code,subcategorie,object,begin_dat,eind_dat,vlak_max,munt_lengte_diameter_in_mm
NZD1.00470MTL019;NZD1;metaal: ijzer-koper;munt;1949.0;2002.0;-11.5;16.5;NZD1.00470MTL019,NZD1,metaal: ijzer-koper,munt,1949.0,2002.0,-11.5,16.5
NZD1.00470MTL020;NZD1;metaal: brons;munt;1980.0;1980.0;-11.5;21.0;NZD1.00470MTL020,NZD1,metaal: brons,munt,1980.0,1980.0,-11.5,21.0
NZD1.00470MTL021;NZD1;metaal: brons;munt;1979.0;1979.0;-11.5;21.0;NZD1.00470MTL021,NZD1,metaal: brons,munt,1979.0,1979.0,-11.5,21.0
NZD1.00471MTL023;NZD1;metaal: nikkel;munt;1968.0;1968.0;-10.42;19.0;NZD1.00471MTL023,NZD1,metaal: nikkel,munt,1968.0,1968.0,-10.42,19.0
NZD1.00471MTL024;NZD1;metaal: nikkel;munt;1997.0;1997.0;-10.42;19.0;NZD1.00471MTL024,NZD1,metaal: nikkel,munt,1997.0,1997.0,-10.42,19.0
NZD1.00474MTL040;NZD1;metaal: nikkel;munt;1983.0;1983.0;-9.91;15.0;NZD1.00474MTL040,NZD1,metaal: nikkel,munt,1983.0,1983.0,-9.91,15.0
NZD1.00474MTL041;NZD1;metaal: nikkel;munt;1955.0;1955.0;-9.91;15.0;NZD1.00474MTL041,NZD1,metaal: nikkel,munt,1955.0,1955.0,-9.91,15.0
NZD1.00474MTL042;NZD1;metaal: koperlegering;munt;2000.0;2000.0;-9.91;19.75;NZD1.00474MTL042,NZD1,metaal: koperlegering,munt,2000.0,2000.0,-9.91,19.75
NZD1.00478MTL046;NZD1;metaal: ijzer-koper;munt;1968.0;1968.0;-10.42;21.5;NZD1.00478MTL046,NZD1,metaal: ijzer-koper,munt,1968.0,1968.0,-10.42,21.5
NZD1.00478MTL047;NZD1;metaal: ijzer-koper;munt;1981.0;1981.0;-10.42;21.5;NZD1.00478MTL047,NZD1,metaal: ijzer-koper,munt,1981.0,1981.0,-10.42,21.5
NZD1.00478MTL048;NZD1;metaal: ijzer-koper;munt;1979.0;1979.0;-10.42;21.5;NZD1.00478MTL048,NZD1,metaal: ijzer-koper,munt,1979.0,1979.0,-10.42,21.5
NZD1.00478MTL049;NZD1;metaal: staal;munt;2000.0;2000.0;-10.42;16.25;NZD1.00478MTL049,NZD1,metaal: staal,munt,2000.0,2000.0,-10.42,16.25
NZD1.00483MTL014;NZD1;metaal: koper;munt;1573.0;1579.0;-10.42;23.0;NZD1.00483MTL014,NZD1,metaal: koper,munt,1573.0,1579.0,-10.42,23.0
NZD1.00483MTL020;NZD1;metaal: nikkel;munt;1973.0;1973.0;-10.42;25.0;NZD1.00483MTL020,NZD1,metaal: nikkel,munt,1973.0,1973.0,-10.42,25.0
NZD1.00486MTL033;NZD1;metaal: nikkel;munt;1950.0;1950.0;-10.42;15.0;NZD1.00486MTL033,NZD1,metaal: nikkel,munt,1950.0,1950.0,-10.42,15.0
NZD1.00486MTL034;NZD1;metaal: nikkel;munt;1963.0;1963.0;-10.42;19.0;NZD1.00486MTL034,NZD1,metaal: nikkel,munt,1963.0,1963.0,-10.42,19.0
NZD1.00493MTL012;NZD1;metaal: nikkel;munt;1973.0;1973.0;-11.4;25.0;NZD1.00493MTL012,NZD1,metaal: nikkel,munt,1973.0,1973.0,-11.4,25.0
NZD1.00501MTL013;NZD1;metaal: zilver;munt;1482.0;1521.0;-11.4;22.0;NZD1.00501MTL013,NZD1,metaal: zilver,munt,1482.0,1521.0,-11.4,22.0
NZD1.00501MTL014;NZD1;metaal: zilver;munt;1482.0;1521.0;-11.4;21.0;NZD1.00501MTL014,NZD1,metaal: zilver,munt,1482.0,1521.0,-11.4,21.0
NZD1.00501MTL015;NZD1;metaal: zilver;munt;1482.0;1506.0;-11.4;28.0;NZD1.00501MTL015,NZD1,metaal: zilver,munt,1482.0,1506.0,-11.4,28.0
NZD1.00501MTL016;NZD1;metaal: koper;munt;1604.0;1604.0;-11.4;20.0;NZD1.00501MTL016,NZD1,metaal: koper,munt,1604.0,1604.0,-11.4,20.0
NZD1.00501MTL017;NZD1;metaal: koper;munt;1635.0;1635.0;-11.4;22.0;NZD1.00501MTL017,NZD1,metaal: koper,munt,1635.0,1635.0,-11.4,22.0
NZD1.00501MTL018;NZD1;metaal: koper;munt;1640.0;1643.0;-11.4;19.0;NZD1.00501MTL018,NZD1,metaal: koper,munt,1640.0,1643.0,-11.4,19.0
NZD1.00501MTL019;NZD1;metaal: koper;munt;1715.0;1715.0;-11.4;22.0;NZD1.00501MTL019,NZD1,metaal: koper,munt,1715.0,1715.0,-11.4,22.0
NZD1.00501MTL022;NZD1;metaal: ijzer-koper;munt;1994.0;1994.0;-11.4;16.5;NZD1.00501MTL022,NZD1,metaal: ijzer-koper,munt,1994.0,1994.0,-11.4,16.5
NZD1.00501MTL023;NZD1;metaal: aluminium-brons;munt;1986.0;1986.0;-11.4;24.0;NZD1.00501MTL023,NZD1,metaal: aluminium-brons,munt,1986.0,1986.0,-11.4,24.0
NZD1.00501MTL024;NZD1;metaal: koper-nikkel;munt;1992.0;1992.0;-11.4;20.25;NZD1.00501MTL024,NZD1,metaal: koper-nikkel,munt,1992.0,1992.0,-11.4,20.25
NZD1.00501MTL025;NZD1;metaal: ijzer-koper;munt;1986.0;1986.0;-11.4;16.5;NZD1.00501MTL025,NZD1,metaal: ijzer-koper,munt,1986.0,1986.0,-11.4,16.5
NZD1.00501MTL026;NZD1;metaal: nikkel;munt;1968.0;1968.0;-11.4;32.0;NZD1.00501MTL026,NZD1,metaal: nikkel,munt,1968.0,1968.0,-11.4,32.0
NZD1.00501MTL027;NZD1;metaal: brons;munt;1967.0;1967.0;-11.4;17.0;NZD1.00501MTL027,NZD1,metaal: brons,munt,1967.0,1967.0,-11.4,17.0
